Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2011,222178,Abilene Christian University,1,ACU-Abilene,4558,0,0,0
2011,138558,Abraham Baldwin Agricultural College,1,ABAC main campus,3250,0,0,0
2012,177834,A T Still University of Health Sciences,1,Missouri Campus,3141,0,0,0
2012,177834,A T Still University of Health Sciences,2,Arizona Campus,3141,0,0,0
2012,222178,Abilene Christian University,1,ACU-Abilene,4367,0,0,0
2012,138558,Abraham Baldwin Agricultural College,1,ABAC main campus,3233,0,0,0
2013,177834,A T Still University of Health Sciences,1,Missouri Campus,3314,0,0,0
2013,177834,A T Still University of Health Sciences,2,Arizona Campus,3314,0,0,0
2013,222178,Abilene Christian University,1,ACU-Abilene,4461,0,0,0
2013,222178,Abilene Christian University,2,ACU- City Square Dallas,4461,0,0,0
2013,138558,Abraham Baldwin Agricultural College,1,ABAC main campus,3394,0,0,0
2014,177834,A T Still University of Health Sciences,1,Missouri Campus,3226,0,0,0
2014,177834,A T Still University of Health Sciences,2,Arizona Campus,3226,0,0,0
2014,222178,Abilene Christian University,1,ACU-Abilene,4427,0,0,0
2014,222178,Abilene Christian University,2,ACU- City Square Dallas,4427,0,0,0
2014,138558,Abraham Baldwin Agricultural College,1,ABAC main campus,3458,0,0,0
2015,177834,A T Still University of Health Sciences,1,Missouri Campus,3357,0,0,0
2015,177834,A T Still University of Health Sciences,2,Arizona Campus,3357,0,0,0
2015,222178,Abilene Christian University,1,ACU-Abilene,4544,0,0,0
2015,222178,Abilene Christian University,2,ACU- City Square Dallas,4544,0,0,0
2015,138558,Abraham Baldwin Agricultural College,1,ABAC main campus,3393,0,0,0
2016,177834,A T Still University of Health Sciences,1,Missouri Campus,3569,0,0,0
2016,177834,A T Still University of Health Sciences,2,Arizona Campus,3569,0,0,0
2016,177834,A T Still University of Health Sciences,3,Adelante Campus,3569,0,0,0
2016,177834,A T Still University of Health Sciences,4,Beaufort Jasper Hampton Campus,3569,0,0,0
2016,177834,A T Still University of Health Sciences,5,El Rio Campus,3569,0,0,0
2016,177834,A T Still University of Health Sciences,6,Family HealthCare Network Campus,3569,0,0,0
2016,177834,A T Still University of Health Sciences,7,HealthPoint Campus,3569,0,0,0
2016,177834,A T Still University of Health Sciences,8,HealthSource of Ohio Campus,3569,0,0,0
2016,177834,A T Still University of Health Sciences,9,North Country Campus,3569,0,0,0
2016,177834,A T Still University of Health Sciences,10,Northwest Regional PCA Campus,3569,0,0,0
2016,177834,A T Still University of Health Sciences,11,Sunset Park Family Health Center at NYU Lagone,3569,0,0,0
2016,177834,A T Still University of Health Sciences,12,Unity Campus,3569,0,0,0
2016,177834,A T Still University of Health Sciences,13,Waianae Campus,3569,0,0,0
2016,177834,A T Still University of Health Sciences,14,Near North Campus,3569,0,0,0
2016,177834,A T Still University of Health Sciences,15,St. Louis Campus,3569,0,0,0
2016,222178,Abilene Christian University,1,ACU-Abilene,4910,0,0,0
2016,138558,Abraham Baldwin Agricultural College,1,ABAC main campus,3475,0,0,0
2017,177834,A T Still University of Health Sciences,1,Missouri Campus,3723,0,0,0
2017,177834,A T Still University of Health Sciences,2,Arizona Campus,3723,0,0,0
2017,177834,A T Still University of Health Sciences,3,Adelante Campus,3723,0,0,0
2017,177834,A T Still University of Health Sciences,4,Beaufort Jasper Hampton Campus,3723,0,0,0
2017,177834,A T Still University of Health Sciences,5,El Rio Campus,3723,0,0,0
2017,177834,A T Still University of Health Sciences,6,Family HealthCare Network Campus,3723,0,0,0
2017,177834,A T Still University of Health Sciences,7,HealthPoint Campus,3723,0,0,0
2017,177834,A T Still University of Health Sciences,8,HealthSource of Ohio Campus,3723,0,0,0
2017,177834,A T Still University of Health Sciences,9,North Country Campus,3723,0,0,0
2017,177834,A T Still University of Health Sciences,10,Northwest Regional PCA Campus,3723,0,0,0
2017,177834,A T Still University of Health Sciences,11,Sunset Park Family Health Center at NYU Lagone,3723,0,0,0
2017,177834,A T Still University of Health Sciences,12,Unity Campus,3723,0,0,0
2017,177834,A T Still University of Health Sciences,13,Waianae Campus,3723,0,0,0
2017,177834,A T Still University of Health Sciences,14,Near North Campus,3723,0,0,0
2017,177834,A T Still University of Health Sciences,15,St. Louis Campus,3723,0,0,0
2017,222178,Abilene Christian University,1,ACU-Abilene,5145,0,0,0
2017,138558,Abraham Baldwin Agricultural College,1,ABAC main campus,3394,0,0,0
2018,177834,A T Still University of Health Sciences,1,Missouri Campus,3717,0,0,0
2018,177834,A T Still University of Health Sciences,2,Arizona Campus,3717,0,0,0
2018,177834,A T Still University of Health Sciences,3,Adelante Campus,3717,0,0,0
2018,177834,A T Still University of Health Sciences,4,Beaufort Jasper Hampton Campus,3717,0,0,0
2018,177834,A T Still University of Health Sciences,5,El Rio Campus,3717,0,0,0
2018,177834,A T Still University of Health Sciences,6,Family HealthCare Network Campus,3717,0,0,0
2018,177834,A T Still University of Health Sciences,7,HealthPoint Campus,3717,0,0,0
2018,177834,A T Still University of Health Sciences,8,HealthSource of Ohio Campus,3717,0,0,0
2018,177834,A T Still University of Health Sciences,9,North Country Campus,3717,0,0,0
2018,177834,A T Still University of Health Sciences,10,Northwest Regional PCA Campus,3717,0,0,0
2018,177834,A T Still University of Health Sciences,11,Sunset Park Family Health Center at NYU Lagone,3717,0,0,0
2018,177834,A T Still University of Health Sciences,12,Unity Campus,3717,0,0,0
2018,177834,A T Still University of Health Sciences,13,Waianae Campus,3717,0,0,0
2018,177834,A T Still University of Health Sciences,14,Near North Campus,3717,0,0,0
2018,177834,A T Still University of Health Sciences,15,St. Louis Campus,3717,0,0,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,0,0,0
2018,138558,Abraham Baldwin Agricultural College,1,ABAC main campus,4291,0,0,0
2019,177834,A T Still University of Health Sciences,1,Missouri Campus,3857,0,0,0
2019,177834,A T Still University of Health Sciences,2,Arizona Campus,3857,0,0,0
2019,177834,A T Still University of Health Sciences,3,Adelante Campus,3857,0,0,0
2019,177834,A T Still University of Health Sciences,4,Beaufort Jasper Hampton Campus,3857,0,0,0
2019,177834,A T Still University of Health Sciences,5,El Rio Campus,3857,0,0,0
2019,177834,A T Still University of Health Sciences,6,Family HealthCare Network Campus,3857,0,0,0
2019,177834,A T Still University of Health Sciences,7,HealthPoint Campus,3857,0,0,0
2019,177834,A T Still University of Health Sciences,8,HealthSource of Ohio Campus,3857,0,0,0
2019,177834,A T Still University of Health Sciences,9,North Country Campus,3857,0,0,0
2019,177834,A T Still University of Health Sciences,10,Northwest Regional PCA Campus,3857,0,0,0
2019,177834,A T Still University of Health Sciences,11,Sunset Park Family Health Center at NYU Lagone,3857,0,0,0
2019,177834,A T Still University of Health Sciences,12,Unity Campus,3857,0,0,0
2019,177834,A T Still University of Health Sciences,13,Waianae Campus,3857,0,0,0
2019,177834,A T Still University of Health Sciences,14,Near North Campus,3857,0,0,0
2019,177834,A T Still University of Health Sciences,15,St. Louis Campus,3857,0,0,0
2019,459523,ABC Beauty Academy,1,Main Campus,28,0,0,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,0,0,0
2019,138558,Abraham Baldwin Agricultural College,1,ABAC main campus,3927,0,0,0
2019,138558,Abraham Baldwin Agricultural College,3,Abraham Baldwin Agricultural College / Bainbridge Campus,3927,0,0,0
2019,138558,Abraham Baldwin Agricultural College,4,Midtown Campus,3927,0,0,0
